folder,file,relative_path,title,authors,year,status,primary_domain,bib_key,bib_status,canonical_url,verification_status,pages,word_count,figure_caption_count,table_caption_count,core_concepts,key_claims,method_or_evidence,conclusions,figures_tables_useful,limitations,crpto_value,extended_lab_value,quarto_destination,decision,action_required,evidence_gate,artifact_sink,stop_rule,implementation_or_experiment,notes,tags
supplement,Chenreddy Delage 2024 - End-to-End Conditional Robust Optimization.pdf,supplement/Chenreddy Delage 2024 - End-to-End Conditional Robust Optimization.pdf,End-to-End Conditional Robust Optimization,Abhilash Chenreddy; Erick Delage,2024,UAI 2024 / PMLR,end-to-end conditional robust optimization,chenreddy2024,existing,https://arxiv.org/abs/2403.04670,local_pdf_text,13,9034,6,1,"Conditional robust optimization, differentiable optimization, end-to-end training.",End-to-end conditional robust training can improve conditional coverage/objective tradeoffs.,Method with differentiable robust optimization experiments.,"Frontier contrast: CRPTO is post-hoc and auditable, not end-to-end.",Use as frontier comparison table.,Different stack and conditional guarantees; not current project method.,Future-work contrast.,End-to-end lane context.,agenda extendida CRPTO/tesis future work; CRPTO related-work frontier.,park_future_work,none_now,No run: literature integration only.,docs/research/papers_tesis_deep_audit_2026-06-06.md,Do not reopen a lane unless it changes a manuscript claim.,,,robust_optimization;end_to_end
supplement,Cortes-Gomez et al 2025 - Utility-Directed Conformal Prediction.pdf,supplement/Cortes-Gomez et al 2025 - Utility-Directed Conformal Prediction.pdf,Utility-Directed Conformal Prediction,Santiago Cortes-Gomez; Carlos Patino; Yewon Byun; Steven Wu; Eric Horvitz; Bryan Wilder,2025,ICLR 2025,decision-aware conformal prediction,cortesgomez2025utility,added_2026_06_06,https://openreview.net/forum?id=iOMnn1hSBO,web_primary_and_local_pdf,21,11008,8,14,"Utility-directed CP, decision loss, actionable uncertainty, coverage preservation.",Prediction sets can incorporate downstream utility while retaining standard coverage.,Decision-aware conformal method and experiments.,Highly relevant future step: optimize CP usefulness without abandoning coverage.,Use framework diagram for future decision-loss conformal selector design.,Current CRPTO does not implement this training/calibration objective.,Future-work extension; supports A5 selector direction.,Candidate decision-loss gate or conformal utility experiment.,agenda extendida CRPTO/tesis future gates; CRPTO future work.,park_width_fail,experiment_completed_parked,Executed with fixed width/violation/tail-miss loss on frozen v4 replay; coverage rose to 0.9954 but avg width 0.9981 failed the 0.98 width gate.,docs/research/papers_tesis_deep_audit_2026-06-06.md,Park as negative width result; no utility-directed selector claim.,"Utility-directed loss replay: coverage 0.9954, avg width +0.2205 versus Mondrian, worst defended source 0.9499.",,conformal;utility;decision
supplement,FinRegLab 2023 - Explainability and Fairness in ML Credit Underwriting.pdf,supplement/FinRegLab 2023 - Explainability and Fairness in ML Credit Underwriting.pdf,Explainability and Fairness in Machine Learning for Credit Underwriting: Policy Analysis,FinRegLab,2023,policy report,ML credit governance,finreglab2023fairness,existing,https://finreglab.org/research/explainability-fairness-in-machine-learning-for-credit-underwriting-policy-analysis/,local_pdf_text,106,61633,0,0,"Explainability, fairness, adverse action, model governance, underwriting controls.",ML credit systems require governance controls beyond predictive performance.,Policy analysis and stakeholder evidence.,Supports MRM/fairness appendix and explains why claims must be bounded.,Use control-taxonomy tables for governance mapping.,"Policy report, not CRPTO empirical evidence.",Governance appendix support.,Strong governance/fairness boundary source.,CRPTO governance appendix; agenda extendida CRPTO/tesis governance.,append_governance,none_now,No run: literature integration only.,docs/research/papers_tesis_deep_audit_2026-06-06.md,Do not reopen a lane unless it changes a manuscript claim.,,,governance;fairness;credit
supplement,Gibbs Candes 2021 - Adaptive Conformal Inference Under Distribution Shift.pdf,supplement/Gibbs Candes 2021 - Adaptive Conformal Inference Under Distribution Shift.pdf,Adaptive Conformal Inference Under Distribution Shift,Isaac Gibbs; Emmanuel J. Candes,2021,NeurIPS 2021,adaptive conformal inference,gibbs2021aci,existing,https://arxiv.org/abs/2106.00170,local_pdf_text,25,12059,11,0,"ACI, online updating, distribution shift, adaptive quantiles.",Conformal thresholds can be adapted under shift to improve long-run coverage.,Algorithm and experiments.,"Future online/drift candidate, not current static CRPTO.",Use online update schematic for agenda extendida CRPTO/tesis future work.,Needs streaming/prospective feedback to claim deployment validity.,Future-work caveat.,Online/source conformal lane context.,agenda extendida CRPTO/tesis online caveat; thesis.,park_future_work,none_now,No run: literature integration only.,docs/research/papers_tesis_deep_audit_2026-06-06.md,Do not reopen a lane unless it changes a manuscript claim.,,,conformal;online;shift
supplement,Gibbs Cherian Candes 2025 - Conformal Prediction with Conditional Guarantees.pdf,supplement/Gibbs Cherian Candes 2025 - Conformal Prediction with Conditional Guarantees.pdf,Conformal Prediction with Conditional Guarantees,Isaac Gibbs; John J. Cherian; Emmanuel J. Candes,2025,JRSS-B,conditional conformal guarantees,gibbs2024,existing,https://arxiv.org/abs/2305.12616,local_pdf_text,54,28096,22,0,"Conditional guarantees, coverage spectrum, restricted conditional targets.",Relaxed conditional goals can be achieved where exact conditional coverage cannot.,Theory paper.,Supports future conditional-tightening language and source-group caveats.,Use conceptual spectrum for appendix if conditional validity is discussed.,"Not implemented in project; current Mondrian is finite-group conditional-ish, not exact individual conditional.",Caveat and future-work support.,Source/group coverage lane context.,agenda extendida CRPTO/tesis online/source caveat; CRPTO theory appendix.,append_claim_boundary,none_now,No run: literature integration only.,docs/research/papers_tesis_deep_audit_2026-06-06.md,Do not reopen a lane unless it changes a manuscript claim.,,,conformal;conditional_coverage
supplement,Guan 2023 - Localized Conformal Prediction.pdf,supplement/Guan 2023 - Localized Conformal Prediction.pdf,Localized Conformal Prediction,Leying Guan,2023,Biometrika,localized conformal prediction,guan2023localized,existing,https://doi.org/10.1093/biomet/asac040,local_pdf_text,29,16540,2,7,"Localized conformity scores, local calibration, approximate conditional validity.",Local weighting can improve adaptivity while retaining conformal inference structure.,Generalized local conformal framework.,Candidate comparator to Mondrian if future coverage sharpness matters.,Use local-vs-global schematic for appendix only.,Would require a new localized calibration design.,Future-work comparator.,Potential source/shift experiment.,agenda extendida CRPTO/tesis future gates; thesis.,append_mixed_diagnostic_wider_than_mondrian,experiment_completed_appendix_diagnostic,"Executed on frozen v4 replay with 2018 calibration and 2019-2020 holdout; coverage and worst-source coverage improved, but width increased 0.0867 versus Mondrian.",docs/research/papers_tesis_deep_audit_2026-06-06.md,Append only as reviewer-facing localized diagnostic; no localized guarantee or champion replacement claim.,"Localized score-bin replay: coverage 0.9497, avg width 0.8643, worst defended source 0.9252.",,conformal;localized
supplement,Jonkers et al 2024 - Conformal Predictive Systems Under Covariate Shift.pdf,supplement/Jonkers et al 2024 - Conformal Predictive Systems Under Covariate Shift.pdf,Conformal Predictive Systems Under Covariate Shift,Sander Jonkers and coauthors,2024,arXiv / preprint,covariate shift conformal systems,jonkers2024wcps,needs_bib_if_cited,,local_pdf_text,18,6825,4,1,"Conformal predictive systems, covariate shift, calibration under shift.",Conformal predictive systems can be adapted for shifted covariate distributions.,Method paper.,"Useful for source/shift caveat, not current champion.",Use shift taxonomy only.,Requires shift assumptions and is not credit-specific.,Future-work context.,Source/shift lane context.,agenda extendida CRPTO/tesis source/shift appendix if expanded.,context_source_shift,none_now,No run: literature integration only.,docs/research/papers_tesis_deep_audit_2026-06-06.md,Do not reopen a lane unless it changes a manuscript claim.,,,conformal;shift
supplement,Kiyani et al 2025 - Decision Theoretic Foundations for Conformal Prediction.pdf,supplement/Kiyani et al 2025 - Decision Theoretic Foundations for Conformal Prediction.pdf,Decision Theoretic Foundations for Conformal Prediction,Shayan Kiyani and coauthors,2025,AISTATS / ICML-era preprint,decision theory for conformal prediction,kiyani2025,existing,https://arxiv.org/abs/2502.02561,local_pdf_text,28,17605,3,3,"Decision-theoretic CP, utility, actionability, uncertainty quantification.","Conformal sets can be understood through decisions and utilities, not only coverage.",Theoretical framing.,Good conceptual support for CRPTO's decision-aware framing.,Use as theory bridge in future-work paragraph.,Does not implement CRPTO portfolio optimization.,Future/positioning support.,Decision-risk lab framing.,CRPTO discussion; agenda extendida CRPTO/tesis future gates.,append_future_work,none_now,No run: literature integration only.,docs/research/papers_tesis_deep_audit_2026-06-06.md,Do not reopen a lane unless it changes a manuscript claim.,,,conformal;decision
supplement,Lekeufack et al 2023 - Conformal Decision Theory.pdf,supplement/Lekeufack et al 2023 - Conformal Decision Theory.pdf,Conformal Decision Theory,Jordan Lekeufack and coauthors,2023,NeurIPS workshop / preprint,conformal decision theory,lekeufack2023cdt,needs_bib_if_cited,,local_pdf_text,9,7335,4,0,"Conformal prediction for decisions, calibrated decision policies, set-valued actions.",Conformal uncertainty can be integrated with decision-making objectives.,Conceptual/method paper.,Supports agenda extendida CRPTO/tesis decision-risk framing but is not a CRPTO baseline.,Use only as conceptual context.,No credit portfolio evidence.,Future-work context.,Decision analytics context.,agenda extendida CRPTO/tesis related work if expanded.,context_decision_conformal,none_now,No run: literature integration only.,docs/research/papers_tesis_deep_audit_2026-06-06.md,Do not reopen a lane unless it changes a manuscript claim.,,,conformal;decision
supplement,Lin Delage Chan 2024 - Conformal Inverse Optimization.pdf,supplement/Lin Delage Chan 2024 - Conformal Inverse Optimization.pdf,Conformal Inverse Optimization,Bo Lin; Erick Delage; Timothy C. Y. Chan,2024,NeurIPS 2024,conformal inverse optimization,chan2024inverse,existing,https://arxiv.org/abs/2402.01489,local_pdf_text,24,12919,5,2,"Inverse optimization, conformal uncertainty, decision ambiguity.",Conformal methods can quantify uncertainty in inverse optimization.,Theory/algorithm.,"Valuable frontier for auditing human/legacy decisions, not current CRPTO.",Use CREDO/inverse-optimization family as future audit lane.,Different problem: inferring preferences/parameters from decisions.,Future-work context.,Decision audit/source governance context.,agenda extendida CRPTO/tesis future gates.,park_future_work,none_now,No run: literature integration only.,docs/research/papers_tesis_deep_audit_2026-06-06.md,Do not reopen a lane unless it changes a manuscript claim.,,,conformal;inverse_optimization
supplement,Liu Levis Normand Han 2024 - Multi-Source Conformal Inference Under Distribution Shift.pdf,supplement/Liu Levis Normand Han 2024 - Multi-Source Conformal Inference Under Distribution Shift.pdf,Multi-Source Conformal Inference Under Distribution Shift,Meichen Liu; Alexander W. Levis; Sara-Lynne Normand; Larry Han,2024,arXiv preprint,multi-source conformal inference,liu2024multisource,needs_bib_if_cited,https://arxiv.org/abs/2402.12105,local_pdf_text,39,23862,15,9,"Multi-source inference, heterogeneous source distributions, shifted test populations.",Combining calibration sources carefully can maintain valid intervals under source shift.,Theory and experiments.,Directly relevant to agenda extendida CRPTO/tesis source-family holdout but needs stronger data design.,Use source-combination taxonomy for source governance.,"Current LC source groups are retrospective, not validated external sources.",Caveat/future work only.,Source-family holdout lane.,agenda extendida CRPTO/tesis online/source caveat.,append_extended_source_shift,none_now,No run: literature integration only.,docs/research/papers_tesis_deep_audit_2026-06-06.md,Do not reopen a lane unless it changes a manuscript claim.,,,conformal;source;shift
supplement,Liu et al 2026 - Online Conformal Prediction via Universal Portfolio Algorithms.pdf,supplement/Liu et al 2026 - Online Conformal Prediction via Universal Portfolio Algorithms.pdf,Online Conformal Prediction via Universal Portfolio Algorithms,Tuo Liu; Edgar Dobriban; Francesco Orabona,2026,arXiv preprint,online conformal prediction,liu2026portfolio,existing,https://arxiv.org/abs/2602.03168,local_pdf_text,63,23587,66,11,"Online conformal prediction, universal portfolios, regret-to-coverage, parameter-free adaptation.",Online CP can achieve long-run coverage via universal portfolio algorithms.,Theory and experiments.,"Excellent future direction for deployment, but current project is retrospective.",Use online update process as future-work schematic.,No production feedback stream in current data.,Future-work only.,Online lane context and stop-rule support.,agenda extendida CRPTO/tesis online caveat; CRPTO future work.,park_future_work,none_now,No run: literature integration only.,docs/research/papers_tesis_deep_audit_2026-06-06.md,Do not reopen a lane unless it changes a manuscript claim.,,,conformal;online
supplement,Mandi et al 2024 - Decision-Focused Learning Survey.pdf,supplement/Mandi et al 2024 - Decision-Focused Learning Survey.pdf,"Decision-Focused Learning: Foundations, State of the Art, Benchmark and Future Opportunities",Jayanta Mandi and coauthors,2024,Journal of Artificial Intelligence Research,decision-focused learning survey,mandi2024,existing,https://arxiv.org/abs/2307.13565,local_pdf_text,76,34467,24,3,"DFL taxonomy, SPO+, gradient-based/gradient-free methods, benchmarks.",DFL is mature but no single method dominates across tasks.,Survey and benchmark synthesis.,"Use to defend treating SPO+/PyEPO as comparator, not CRPTO replacement.",Use taxonomy table for agenda extendida CRPTO/tesis DFL suite framing.,Survey does not provide conformal guarantees.,Comparator framing.,Core PyEPO/DFL suite context.,CRPTO related work; agenda extendida CRPTO/tesis PyEPO section.,append_comparator,none_now,No run: literature integration only.,docs/research/papers_tesis_deep_audit_2026-06-06.md,Do not reopen a lane unless it changes a manuscript claim.,,,dfl;survey
supplement,Rockafellar Uryasev 2000 - Optimization of Conditional Value-at-Risk.pdf,supplement/Rockafellar Uryasev 2000 - Optimization of Conditional Value-at-Risk.pdf,Optimization of Conditional Value-at-Risk,R. Tyrrell Rockafellar; Stanislav Uryasev,2000,The Journal of Risk,CVaR optimization,rockafellar2000cvar,existing,https://doi.org/10.21314/JOR.2000.038,local_pdf_text,26,8861,1,9,"CVaR, tail risk, tractable convex optimization.",CVaR is optimizable and more useful than VaR for tail-risk control.,Optimization theory.,Grounds A12 and agenda extendida CRPTO/tesis tail challenger.,"Use formulation, not figures.",Tail-risk improvement does not imply wealth champion.,Appendix tail-risk diagnostic.,Strong CVaR challenger foundation.,CRPTO appendix; agenda extendida CRPTO/tesis tail lane.,append_tail_risk,none_now,No run: literature integration only.,docs/research/papers_tesis_deep_audit_2026-06-06.md,Do not reopen a lane unless it changes a manuscript claim.,,,tail_risk;cvar
supplement,Romano Patterson Candes 2019 - Conformalized Quantile Regression.pdf,supplement/Romano Patterson Candes 2019 - Conformalized Quantile Regression.pdf,Conformalized Quantile Regression,Yaniv Romano; Evan Patterson; Emmanuel J. Candes,2019,NeurIPS 2019,CQR,romano2019,existing,https://arxiv.org/abs/1905.03222,local_pdf_text,19,8886,9,2,"Conformalized quantile regression, adaptive intervals, split conformal.",Quantile regression plus conformalization yields valid adaptive intervals.,Method and experiments.,Baseline/variant reference for interval adaptivity.,Use interval-width/adaptivity examples in conformal chapter.,"Current champion is Mondrian score-decile, not CQR.",Conformal variant/context.,Potential future variant only.,Conformal chapter; CRPTO appendix.,append_conformal_variant,none_now,No run: literature integration only.,docs/research/papers_tesis_deep_audit_2026-06-06.md,Do not reopen a lane unless it changes a manuscript claim.,,,conformal;cqr
supplement,Schutte et al 2024 - Robust Losses for Decision-Focused Learning.pdf,supplement/Schutte et al 2024 - Robust Losses for Decision-Focused Learning.pdf,Robust Losses for Decision-Focused Learning,Wolfgang Schutte and coauthors,2024,NeurIPS / arXiv-era DFL paper,robust DFL,schutte2024robust,needs_bib_if_cited,,local_pdf_text,10,9002,4,1,"Robust decision-focused losses, decision regret, misspecification.",Robust losses can improve DFL under uncertainty or misspecification.,DFL method and experiments.,agenda extendida CRPTO/tesis DFL challenger context; not a CRPTO body claim.,Use loss comparison table for DFL appendix only.,No conformal auditability or credit-specific bound.,Comparator/future work.,Potential DFL suite extension.,agenda extendida CRPTO/tesis PyEPO/DFL appendix if expanded.,park_future_dfl,none_now,No run: literature integration only.,docs/research/papers_tesis_deep_audit_2026-06-06.md,Do not reopen a lane unless it changes a manuscript claim.,,,dfl;robustness
supplement,Tibshirani et al 2019 - Conformal Prediction Under Covariate Shift.pdf,supplement/Tibshirani et al 2019 - Conformal Prediction Under Covariate Shift.pdf,Conformal Prediction Under Covariate Shift,Ryan J. Tibshirani; Rina Foygel Barber; Emmanuel J. Candes; Aaditya Ramdas,2019,NeurIPS 2019,weighted conformal / covariate shift,tibshirani2019covshift,needs_bib_if_cited,https://arxiv.org/abs/1904.06019,local_pdf_text,11,6021,1,0,"Covariate shift, weighted conformal prediction, likelihood-ratio weights.",Conformal coverage can adapt under covariate shift if weights are known/estimated.,Theory and experiments.,Core source for future source/shift gates.,Use assumption table for source-shift appendix.,Requires credible density-ratio/weight estimation.,Future/caveat only.,Source/shift conformal lane.,agenda extendida CRPTO/tesis online/source caveat.,append_extended_source_shift,none_now,No run: literature integration only.,docs/research/papers_tesis_deep_audit_2026-06-06.md,Do not reopen a lane unless it changes a manuscript claim.,,,conformal;shift
supplement,Yang Jin 2026 - Multi-Distribution Robust Conformal Prediction.pdf,supplement/Yang Jin 2026 - Multi-Distribution Robust Conformal Prediction.pdf,Multi-Distribution Robust Conformal Prediction,Yuqi Yang; Ying Jin,2026,arXiv preprint,multi-distribution robust conformal prediction,yang2026multidistribution,existing,https://arxiv.org/abs/2601.02998,local_pdf_text,45,26846,26,0,"Multiple source distributions, robust coverage, max-p aggregation.",Finite-sample coverage can be made robust over multiple distributions/mixtures.,Theory preprint.,Strong source-robustness future-work citation.,Use source distribution diagram if agenda extendida CRPTO/tesis source appendix expands.,"Current project has retrospective source proxies, not true multi-source deployment.",Future-work context.,Source-governance lane and caveat.,CRPTO future work; agenda extendida CRPTO/tesis source caveat.,append_future_work,none_now,No run: literature integration only.,docs/research/papers_tesis_deep_audit_2026-06-06.md,Do not reopen a lane unless it changes a manuscript claim.,,,conformal;source;shift
supplement,Yeh et al 2025 - Conformal Risk Training.pdf,supplement/Yeh et al 2025 - Conformal Risk Training.pdf,Conformal Risk Training,Christopher Yeh; Nicolas Christianson; Adam Wierman; Yisong Yue,2025,NeurIPS 2025,end-to-end conformal risk training,yeh2025training,existing,https://arxiv.org/abs/2510.08748,local_pdf_text,30,18537,5,3,"Conformal risk training, OCE/CVaR, differentiable conformal risk.","Conformal risk can be optimized end-to-end, including OCE-style risks.",Method and experiments.,Future direction for replacing diagnostic tail risk with optimized conformal risk.,Use risk-training diagram as future-work context only.,Current CRPTO is post-hoc; implementing CRT would change method.,Future-work contrast.,Candidate composite decision-risk training lane.,CRPTO future work; agenda extendida CRPTO/tesis future gates.,park_future_work,none_now,No run: literature integration only.,docs/research/papers_tesis_deep_audit_2026-06-06.md,Do not reopen a lane unless it changes a manuscript claim.,,,conformal;risk_control;end_to_end
supplement,Yeh et al 2026 - End-to-End Conformal Calibration for Optimization Under Uncertainty.pdf,supplement/Yeh et al 2026 - End-to-End Conformal Calibration for Optimization Under Uncertainty.pdf,End-to-End Conformal Calibration for Optimization Under Uncertainty,Christopher Yeh; Nicolas Christianson; Alan Wu; Adam Wierman; Yisong Yue,2025,TMLR; arXiv v2 in 2026,end-to-end conformal calibration for optimization,yeh2026,existing,https://arxiv.org/abs/2409.20534,local_pdf_text,29,16242,10,4,"End-to-end conformal calibration, downstream optimization, learned uncertainty sets.",Calibration can be optimized for decision usefulness while retaining validity.,Method and experiments.,Confirms future direction but not current post-hoc CRPTO.,Use related-work contrast table only.,Different training stack and not credit-specific.,Future-work frontier.,Lane 3/end-to-end context.,CRPTO future work; agenda extendida CRPTO/tesis future gates.,park_future_work,none_now,No run: literature integration only.,docs/research/papers_tesis_deep_audit_2026-06-06.md,Do not reopen a lane unless it changes a manuscript claim.,,,conformal;end_to_end
supplement,Zhou Orfanoudaki Zhu 2025 - Conformalized Decision Risk Assessment.pdf,supplement/Zhou Orfanoudaki Zhu 2025 - Conformalized Decision Risk Assessment.pdf,Conformalized Decision Risk Assessment,Wenbin Zhou; Agni Orfanoudaki; Shixiang Zhu,2026,ICLR 2026 / arXiv 2025,decision risk certificates,zhou2025credo,added_2026_06_06,https://arxiv.org/abs/2505.13243,web_primary_and_local_pdf,41,18592,9,10,"CREDO, decision risk certificates, inverse optimization, conformalized risk estimation.",A candidate decision can receive a distribution-free upper bound on probability of suboptimality.,Conformal + inverse optimization framework.,Very relevant for agenda extendida CRPTO/tesis auditability; not part of current CRPTO champion.,Use risk-certificate diagram as agenda extendida CRPTO/tesis future audit inspiration.,Different problem geometry; no Lending Club implementation.,Future auditability contrast.,Strong future lane for decision certificate rather than policy promotion.,agenda extendida CRPTO/tesis future gate register.,park_future_work,completed_bib_quarto_patch,No run: literature integration only.,docs/research/papers_tesis_deep_audit_2026-06-06.md,Do not reopen a lane unless it changes a manuscript claim.,,,conformal;decision;auditability
supplement,Zhou Zhu 2025 - Calibrating Decision Robustness via Inverse Conformal Risk Control.pdf,supplement/Zhou Zhu 2025 - Calibrating Decision Robustness via Inverse Conformal Risk Control.pdf,Calibrating Decision Robustness via Inverse Conformal Risk Control,Yang Zhou; Ruohan Zhu,2026,arXiv preprint,inverse conformal risk control,zhou2026creme,existing,https://arxiv.org/abs/2510.07750,local_pdf_text,20,12634,11,2,"Inverse CRC, decision robustness, robustness calibration.",Decision robustness can be calibrated through inverse conformal risk-control ideas.,Theory/method preprint.,Relevant future lane for robustness calibration.,Use only as future-work contrast.,Not implemented and not credit-specific.,Future-work context.,Decision robustness gate candidate.,agenda extendida CRPTO/tesis future gates.,park_future_work,none_now,No run: literature integration only.,docs/research/papers_tesis_deep_audit_2026-06-06.md,Do not reopen a lane unless it changes a manuscript claim.,,,conformal;robustness
tesis,Babaei Bamdad 2020 - Multi-Objective Investment Recommendation in P2P Lending.pdf,tesis/Babaei Bamdad 2020 - Multi-Objective Investment Recommendation in P2P Lending.pdf,A multi-objective instance-based decision support system for investment recommendation in peer-to-peer lending,Gholamreza Babaei; Shahrooz Bamdad,2020,Journal article,P2P investment recommendation,babaei2020p2p,needs_bib_if_cited,,local_pdf_text,11,11155,5,5,"P2P lending, multi-objective recommendation, risk-return tradeoff, NPV.",Decision-support systems can optimize investment recommendations over risk and return.,Applied recommendation/optimization experiment.,Useful thesis context for digital lending optimization.,Use risk-return recommendation setup as background only.,No conformal guarantees.,Credit-domain context.,Digital-lending optimization context.,Thesis/agenda extendida CRPTO/tesis context.,context_credit_domain,none_now,No run: literature integration only.,docs/research/papers_tesis_deep_audit_2026-06-06.md,Do not reopen a lane unless it changes a manuscript claim.,,,credit;p2p;optimization
tesis,Basel Committee 2015 - Guidance on Credit Risk and Expected Credit Losses.pdf,tesis/Basel Committee 2015 - Guidance on Credit Risk and Expected Credit Losses.pdf,Guidance on credit risk and accounting for expected credit losses,Basel Committee on Banking Supervision,2015,official supervisory guidance,ECL / IFRS9 governance,basel2015ecl,added_2026_06_06,https://www.bis.org/bcbs/publ/d350.htm,local_pdf_text,36,19933,0,0,"Expected credit losses, credit risk governance, forward-looking information, controls.","ECL estimation needs governance, data quality, forward-looking information and controls.",Supervisory guidance.,Supports IFRS9-inspired boundary and why contractual IFRS9 is not claimed.,Use guidance checklist for agenda extendida CRPTO/tesis IFRS9 proxy appendix.,Open Lending Club data lacks contractual monthly DPD/EAD/recovery infrastructure.,Not for CRPTO body.,Strong IFRS9/SICR proxy boundary source.,agenda extendida CRPTO/tesis IFRS9 appendix; thesis.,append_extended_ifrs9,none_now,No run: literature integration only.,docs/research/papers_tesis_deep_audit_2026-06-06.md,Do not reopen a lane unless it changes a manuscript claim.,,,ifrs9;governance
tesis,Ben-Tal El Ghaoui Nemirovski 2009 - Robust Optimization.pdf,tesis/Ben-Tal El Ghaoui Nemirovski 2009 - Robust Optimization.pdf,Robust Optimization,Aharon Ben-Tal; Laurent El Ghaoui; Arkadi Nemirovski,2009,Princeton University Press book,robust optimization foundations,bental2009robust,needs_bib_if_cited,https://press.princeton.edu/books/hardcover/9780691143682/robust-optimization,local_pdf_text,570,232048,42,32,"Uncertainty sets, robust counterparts, tractability, convex robust optimization.",Robust optimization provides a systematic language for feasible decisions under uncertainty.,Foundational monograph.,Use as deep thesis foundation; CRPTO body can rely on shorter RO citations.,"Use formulations/definitions, not figures.",Very broad; not conformal or credit-specific.,"Theoretical background for thesis, optional paper appendix.",Context only.,Thesis robust optimization chapter.,thesis_foundation,none_now,No run: literature integration only.,docs/research/papers_tesis_deep_audit_2026-06-06.md,Do not reopen a lane unless it changes a manuscript claim.,,,robust_optimization;book
tesis,Blattner Nelson 2021 - How Costly is Noise Data and Disparities in Consumer Credit.pdf,tesis/Blattner Nelson 2021 - How Costly is Noise Data and Disparities in Consumer Credit.pdf,How Costly is Noise? Data and Disparities in Consumer Credit,Laura Blattner; Scott Nelson,2021,working paper / credit economics,credit data noise / disparities,blattner2021noise,needs_bib_if_cited,,local_pdf_text,86,32376,5,17,"Data noise, credit scores, disparities, unequal information quality.",Noisy credit data can create unequal access and distort credit allocations.,Empirical/economic analysis.,Important governance caveat: model performance can be constrained by source data quality.,Use disparity/noise tables as governance appendix inspiration.,Not Lending Club CRPTO evidence.,Threat-to-validity/context.,Strong metric/data governance context.,agenda extendida CRPTO/tesis governance appendix; thesis.,append_extended_governance,none_now,No run: literature integration only.,docs/research/papers_tesis_deep_audit_2026-06-06.md,Do not reopen a lane unless it changes a manuscript claim.,,,credit;data_quality;equity
tesis,Brevoort Grimm Kambara 2016 - Credit Invisibles and the Unscored.pdf,tesis/Brevoort Grimm Kambara 2016 - Credit Invisibles and the Unscored.pdf,Credit Invisibles and the Unscored,Kenneth P. Brevoort; Philipp Grimm; Michelle Kambara,2016,Cityscape / CFPB research,credit invisibles / unscored consumers,brevoort2016creditinvisibles,needs_bib_if_cited,,local_pdf_text,44,10194,7,6,"Credit invisibles, unscored consumers, data availability, inclusion.",Large consumer segments lack conventional scores or have weak scoring coverage.,Consumer credit data analysis.,Supports why open accepted-loan data cannot make broad credit-access claims.,Use population breakdowns as motivation only.,Not a CRPTO method source.,Credit-market context and scope limitation.,Fairness/source governance context.,Thesis/agenda extendida CRPTO/tesis governance.,context_governance,none_now,No run: literature integration only.,docs/research/papers_tesis_deep_audit_2026-06-06.md,Do not reopen a lane unless it changes a manuscript claim.,,,credit;inclusion;governance
tesis,Cresswell et al 2024 - Conformal Prediction Sets Improve Human Decision Making.pdf,tesis/Cresswell et al 2024 - Conformal Prediction Sets Improve Human Decision Making.pdf,Conformal Prediction Sets Improve Human Decision Making,Jesse Cresswell and coauthors,2024,preprint / empirical decision support,human decision support with CP,cresswell2024,needs_bib_if_cited,,local_pdf_text,19,11537,12,7,"Human-AI decision making, prediction sets, uncertainty communication.",Conformal sets can improve human decisions when uncertainty is communicated well.,Human-subjects/decision experiment.,Useful for discussing auditability and committee-facing uncertainty.,Use decision-support figures as inspiration for MRM/committee communication.,Not credit portfolio optimization.,Motivation for uncertainty-as-decision input.,Governance/human decision appendix context.,agenda extendida CRPTO/tesis governance; thesis discussion.,context_decision_support,none_now,No run: literature integration only.,docs/research/papers_tesis_deep_audit_2026-06-06.md,Do not reopen a lane unless it changes a manuscript claim.,,,conformal;human_decision;governance
tesis,Einbinder et al 2024 - Label Noise Robustness of Conformal Prediction.pdf,tesis/Einbinder et al 2024 - Label Noise Robustness of Conformal Prediction.pdf,Label Noise Robustness of Conformal Prediction,Bat-Sheva Einbinder; Shai Feldman; Stephen Bates; Anastasios N. Angelopoulos; Asaf Gendler; Yaniv Romano,2024,Journal of Machine Learning Research,label noise / conformal robustness,einbinder2024labelnoise,existing,https://jmlr.org/papers/v25/23-1549.html,local_pdf_text,66,24071,29,2,"Label noise, conformal robustness, noisy outcomes, validity under imperfect labels.",Conformal prediction has robustness properties under forms of label noise.,Theory and experiments.,Useful threat-to-validity note for default labels and hardened shift tests.,Use noise taxonomy for appendix caveat.,Does not validate all Lending Club label issues.,Threat-to-validity support.,Data/label governance appendix.,CRPTO limitations; agenda extendida CRPTO/tesis governance.,append_claim_boundary,none_now,No run: literature integration only.,docs/research/papers_tesis_deep_audit_2026-06-06.md,Do not reopen a lane unless it changes a manuscript claim.,,,conformal;label_noise
